h3_index,building_count,total_area,avg_area
892aa8442b7ffff,133,146578.04497786,1102.0905637433084
892aa8442bbffff,259,212116.94065698,818.9843268609267
892aa8442c3ffff,164,191209.96489641,1165.914420100061
892aa8442c7ffff,118,94035.84026624,796.913900561356
892aa8442cbffff,243,197215.88895576,811.5880203940741
892aa8442cfffff,82,106840.52343495001,1302.9332126213417
892aa8442d3ffff,175,140736.50536838,804.2086021050285
892aa8442d7ffff,179,186702.1416316,1043.0287241988826
892aa8442dbffff,60,165506.54858871,2758.4424764785
892aa844303ffff,16,439846.1410222,27490.3838138875
892aa84430bffff,12,204666.39254839,17055.53271236583
892aa84430fffff,2,3156.13326598,1578.06663299
892aa844313ffff,42,100405.79433489,2390.614150830714
892aa844317ffff,19,415275.77294565,21856.61962871842
892aa84431bffff,139,566737.71163154,4077.2497239679137
892aa844327ffff,1,236.60237028,236.60237028
892aa844343ffff,34,486750.15547105,14316.181043266177
892aa844347ffff,16,158827.500768,9926.718798
892aa84434bffff,41,209737.44699241998,5115.54748762
892aa84434fffff,15,204003.60359609,13600.240239739333
892aa844353ffff,99,248994.25758311,2515.093510940505
892aa844357ffff,18,148888.3766907,8271.576482816667
892aa84435bffff,171,198615.18429815,1161.4923058371346
892aa844363ffff,57,51918.89641988,910.8578319277193
892aa84436bffff,46,83281.86359795,1810.4752956076086
892aa844373ffff,13,51824.35926254,3986.4891740415383
892aa844377ffff,51,128936.68605338,2528.170314772157
892aa84437bffff,56,150717.849552,2691.3901705714284
892aa844383ffff,292,348962.53038075,1195.077158838185
892aa844387ffff,98,218610.36240284,2230.7179837024487
892aa84438bffff,202,255897.78183303,1266.8207021437129
892aa84438fffff,118,225356.14705142,1909.7978563679662
892aa844397ffff,262,293398.08244066,1119.8400093154962
892aa84439bffff,69,70577.647301,1022.8644536376812
892aa8443a3ffff,2,53641.17949506,26820.58974753
892aa8443abffff,1,15633.2489067,15633.2489067
892aa8443b3ffff,1,3828.83941847,3828.83941847
892aa8443bbffff,6,227328.74400973,37888.12400162167
892aa8443c3ffff,133,143447.96347138,1078.5561163261655
892aa8443c7ffff,175,202142.82422942,1155.101852739543
892aa8443cbffff,140,268362.02653289,1916.8716180920712
