h3_index,building_count,total_area,distance_km
892aa8452dbffff,126,258182.99739254,1.1250522698877792
892aa845343ffff,68,80533.57302618,1.0071993517039306
892aa845353ffff,5,13868.77535345,1.1404240498305371
892aa845393ffff,160,374753.21761111,1.026258017278242
892aa8453c3ffff,147,165252.96508529,1.065143399940739
892aa8453cbffff,77,127953.52325231,1.2930478581523575
892aa8453d3ffff,241,268048.39430425,1.249443531299924
892aa8453dbffff,137,186182.25915094,1.4047001223745674
892aa845403ffff,154,266165.6523551,1.3085351062565722
892aa845407ffff,272,384045.25893425,1.5945622007001468
892aa84540fffff,129,193906.66527177,1.2918438934847747
892aa845413ffff,71,71540.65840301,1.4078523905452147
892aa845417ffff,134,106438.22857606,1.646668203878678
892aa84541bffff,130,252479.23409179001,1.0547951317972586
892aa845423ffff,20,268404.59328086,1.5005429363657692
892aa845427ffff,72,96034.12285869,1.225597359318163
892aa84542bffff,153,196409.93511071,1.544882302986681
892aa84542fffff,185,199267.92939022,1.2277325390678324
892aa845433ffff,198,303413.96201951,1.7950760665263092
892aa845437ffff,154,188795.95538324,1.5400806285384894
892aa84543bffff,121,386976.21512046,1.6124845723347352
892aa845463ffff,340,268002.55033316,1.1656665731842955
892aa845467ffff,317,264813.22824351,1.3449127035160235
892aa84546bffff,240,215041.47797719,1.0587738840259422
892aa84546fffff,303,268508.82061793,1.1464976898140524
892aa845473ffff,68,449116.54915649,1.0248720691275695
892aa845477ffff,201,250466.00783889001,1.360813215533679
892aa8454a7ffff,3,8355.23145737,1.9922187496268093
892aa8454abffff,114,107463.74464333,1.916159926595585
892aa8454afffff,172,154155.5626614,1.8622526317422556
892aa8454c7ffff,3,19787.65412528,1.217903609625923
892aa845503ffff,128,142263.91750737999,1.092564270578432
892aa845513ffff,355,251146.63833445,1.3590823833907157
892aa845517ffff,169,118116.58095359,1.0813746867239311
892aa84551bffff,222,197270.15531284,1.097531983166023
892aa84558bffff,135,103727.27532241,1.651318544731569
892aa84558fffff,168,161201.92183108,1.395794066517038
892aa8455a3ffff,178,130306.99012014,1.0406280085571766
892aa8455b7ffff,7,3863.9430281100003,1.3033683107148002
892aa8455bbffff,119,115246.95618924,1.1833287445152267
892aa8455c3ffff,249,191316.42212572,1.5024462708509774
892aa8455c7ffff,378,243577.60764098,1.4135174919829152
892aa8455cbffff,285,261961.2643085,1.3236668851676687
892aa8455cfffff,140,243361.91338806,1.167480760997148
